id,name,name_genitive,population,area
1,śląskie,śląskiego,4552627,12333
2,opolskie,opolskiego,991161,9412
3,wielkopolskie,wielkopolskiego,3484975,29826
4,zachodniopomorskie,zachodniopomorskiego,1706579,22892
5,świętokrzyskie,świętokrzyskiego,1249710,11711
6,kujawsko-pomorskie,kujawsko-pomorskiego,2082935,17972
7,podlaskie,podlaskiego,1185174,20187
8,dolnośląskie,dolnośląskiego,2902365,19947
9,podkarpackie,podkarpackiego,2127687,17846
10,małopolskie,małopolskiego,3386162,15183
11,pomorskie,pomorskiego,2319735,18310
12,warmińsko-mazurskie,warmińsko-mazurskiego,1434783,24173
13,łódzkie,łódzkiego,2479962,18219
14,mazowieckie,mazowieckiego,5372579,35558
15,lubelskie,lubelskiego,2129260,25122
16,lubuskie,lubuskiego,1016652,13988
